movie_name,genre,release_year,cast,producer,production_cost_million,ticket_price,tickets_sold,box_office_revenue,netflix_viewers,rating,production_country,movie_id,runtime_minutes
Top Gun: Maverick,Action,2022,"Tom Cruise, Miles Teller, Jennifer Connelly, Jon Hamm, Glen Powell, Val Kilmer","Jerry Bruckheimer, Tom Cruise, Christopher McQuarrie, David Ellison",170.0,16.41,165600000,1503260455,13500000.0,8.2,United States,tt1745960,131
Superman,Superhero,2025,"David Corenswet, Rachel Brosnahan, Nicholas Hoult, Skyler Gisondo, Isabela Merced","Peter Safran, James Gunn",225.0,16.0,38000000,618723803,,7.0,United States,tt5950044,129
Thunderbolts*,Superhero,2025,"Florence Pugh, Sebastian Stan, Julia Louis-Dreyfus, David Harbour, Wyatt Russell","Kevin Feige, Nate Moore",180.0,15.5,24000000,382000000,6300000.0,6.7,United States,tt20969586,127
Final Destination: Bloodlines,Horror,2025,"Kaitlyn Santa Juana, Teo Briones, Richard Harmon, Brec Bassinger, Tony Todd","Craig Perry, Jon Watts, Dianne McGunigle",50.0,15.5,20500000,317854739,2100000.0,8.0,United States,tt9619824,110
Titanic,Romance,1997,"Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Gloria Stuart","James Cameron, Jon Landau",200.0,8.0,282000000,2264812968,1000000.0,7.4,United States,tt0120338,194
Moonlight,Drama,2016,"Mahershala Ali, Naomie Harris, Janelle Monáe, Trevante Rhodes, Ashton Sanders","Adele Romanski, Dede Gardner, Jeremy Kleiner",1.5,11.0,6000000,66953264,,8.6,United States,tt4975722,111
Spirited Away,Animation,2001,"Rumi Hiiragi, Miyu Irino, Mari Natsuki, Bunta Sugawara",Toshio Suzuki,19.0,10.0,36000000,360798190,,8.6,Japan,tt0245429,125
The Social Network,Drama,2010,"Jesse Eisenberg, Andrew Garfield, Justin Timberlake, Armie Hammer, Rooney Mara","Scott Rudin, Dana Brunetti, Michael De Luca",40.0,10.0,22000000,224920315,9500000.0,7.8,United States,tt1285016,120
No Country for Old Men,Crime,2007,"Javier Bardem, Josh Brolin, Tommy Lee Jones, Kelly Macdonald, Woody Harrelson","Ethan Coen, Joel Coen, Scott Rudin",25.0,9.0,19000000,171627166,,8.2,United States,tt0477348,122
There Will Be Blood,Drama,2007,"Daniel Day-Lewis, Paul Dano, Kevin J. O'Connor, Ciarán Hinds","JoAnne Sellar, Paul Thomas Anderson, Daniel Lupi",25.0,9.0,8000000,76195140,,8.2,United States,tt0469494,158
Mission: Impossible III,Action,2006,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames, Michelle Monaghan, Simon Pegg","Tom Cruise, Paula Wagner",150.0,9.0,44000000,398479497,2900000.0,6.9,United States,tt0450259,126
Edge of Tomorrow,Sci-Fi,2014,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson, Jeremy Piven","Tom Lassally, Jeffrey Silver, Jason Hoffs",178.0,11.0,34000000,370541256,,7.9,United States,tt1631867,113
Knight and Day,Comedy,2010,"Tom Cruise, Cameron Diaz, Peter Sarsgaard, Viola Davis","Cathy Konrad, Beau Flynn",117.0,10.0,26000000,261930436,4800000.0,6.3,United States,tt1013743,109
Lions for Lambs,Drama,2007,"Robert Redford, Meryl Streep, Tom Cruise, Michael Peña","Robert Redford, Matthew Michael Carnahan, Andrew Hauptman",35.0,9.0,7000000,63211088,,6.2,United States,tt0891527,92
War of the Worlds,Sci-Fi,2005,"Tom Cruise, Dakota Fanning, Miranda Otto, Justin Chatwin, Tim Robbins","Kathleen Kennedy, Colin Wilson",132.0,7.5,86000000,603874366,12200000.0,6.6,United States,tt0407304,116
